,age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numcompaniesworked,overtime,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
0,51,No,No Travel,Research & Development,6,3,Other,1,1,Female,3,5,Research Director,3,Unknown,7,No,3,3,0,5,3,20,15,15,1972,195370.0,Sí
1,52,No,No Travel,Sales,1,4,Life Sciences,2,3,Female,2,5,Manager,3,Unknown,0,Unknown,3,1,1,5,3,33,11,9,1971,199990.0,Sí
2,42,No,Travel Rarely,Sales,4,2,Technical Degree,3,3,Female,3,5,Manager,4,Married,1,No,3,4,0,3,3,22,11,15,1981,192320.0,Sí
3,47,No,Travel Rarely,Research & Development,2,4,Medical,4,1,Male,3,4,Research Director,3,Married,3,Unknown,3,2,2,2,3,20,5,6,1976,171690.0,No
4,46,No,No Travel,Sales,3,3,Technical Degree,5,1,Male,4,4,Sales Executive,1,Divorced,2,No,3,4,1,5,3,19,2,8,1977,153407.04,No
5,48,No,No Travel,Sales,22,3,Medical,6,4,Male,3,4,Manager,4,Unknown,3,No,3,2,1,3,3,22,4,7,1975,171740.04,Sí
6,59,No,No Travel,Sales,25,3,Life Sciences,7,1,Male,3,3,Sales Executive,1,Unknown,7,Unknown,3,4,0,3,2,21,7,9,1964,100071.84,Sí
7,42,No,Travel Rarely,Sales,1,1,Other,8,2,Female,3,2,Sales Executive,3,Married,1,No,4,3,0,3,3,20,11,6,1981,53914.11,No
8,41,No,No Travel,Sales,2,5,Other,9,2,Male,3,4,Manager,1,Married,7,No,3,2,1,2,3,18,11,8,1982,165950.0,Sí
9,41,No,Travel Frequently,Research & Development,9,3,Other,10,1,Female,3,5,Research Director,3,Unknown,2,No,3,2,1,2,4,18,0,11,1982,191324.63999999998,No
10,41,No,No Travel,Research & Development,7,1,Other,11,2,Male,1,5,Research Director,3,Unknown,1,No,4,2,2,3,3,21,5,10,1982,199730.0,No
11,56,No,Travel Rarely,Research & Development,23,3,Life Sciences,12,4,Female,3,4,Manufacturing Director,2,Married,4,Yes,3,1,1,0,3,19,15,9,1967,134020.0,No
12,38,No,No Travel,Research & Development,10,3,Medical,13,2,Male,1,3,Research Director,3,Married,3,No,3,1,1,3,3,18,1,11,1985,132060.0,Sí
13,41,Yes,Travel Rarely,Research & Development,12,3,Other,14,2,Male,3,5,Research Director,3,Married,1,No,3,4,0,0,3,22,15,8,1982,195450.0,No
14,55,No,No Travel,Research & Development,14,4,Medical,15,3,Female,4,5,Research Director,2,Single,8,No,3,4,0,3,3,24,2,15,1968,191324.63999999998,Sí
15,40,No,Travel Rarely,Sales,2,4,Other,16,3,Male,3,5,Manager,3,Unknown,0,No,3,4,0,2,3,20,1,12,1983,180410.0,No
16,58,Yes,Travel Rarely,Research & Development,2,4,Other,17,4,Female,3,5,Research Director,2,Single,7,Yes,3,4,0,2,3,31,13,8,1965,192460.0,No
17,46,No,Travel Rarely,Sales,2,3,Other,18,3,Male,3,4,Manager,1,Unknown,8,Unknown,4,1,0,2,3,26,15,9,1977,153407.04,No
18,35,No,No Travel,Research & Development,13,5,Life Sciences,19,2,Female,4,2,Research Scientist,1,Married,1,Unknown,3,4,0,2,3,16,1,10,1988,53914.08,No
19,40,No,Travel Rarely,Research & Development,15,3,Life Sciences,20,1,Male,2,3,Manufacturing Director,3,Unknown,1,Unknown,3,4,2,2,3,18,14,12,1983,100071.84,Sí
