,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
0,51,No,Unknown,2015.7222222222224,Research & Development,6,3,Unknown,1,1,Female,3,5,Research Director,3,Unknown,16280.83,42330.17,7,No,13,3,0,5,20,15,15,1972,195370.0,Sí
1,52,No,Unknown,2063.3888888888887,Sales,1,4,Life Sciences,2,3,Female,2,5,Manager,3,Unknown,4492.84,43331.17,0,Unknown,14,1,1,5,33,11,9,1971,199990.0,Sí
2,42,No,Travel Rarely,1984.253968253968,Sales,4,2,Technical Degree,3,3,Female,3,5,Manager,4,Married,4492.84,41669.33,1,No,11,4,0,3,22,11,15,1981,192320.0,Sí
3,47,No,Travel Rarely,1771.4047619047622,Research & Development,2,4,Medical,4,1,Male,3,4,Research Director,3,Married,14307.5,37199.5,3,Unknown,19,2,2,2,20,5,6,1976,171690.0,No
4,46,No,Unknown,1582.7713464696226,Sales,3,3,Technical Degree,5,1,Male,4,4,Sales Executive,1,Divorced,12783.92,33238.2,2,No,12,4,1,5,19,2,8,1977,53914.11,No
5,48,No,Unknown,1771.920634920635,Sales,22,3,Medical,6,4,Male,3,4,Manager,4,Unknown,14311.67,37210.33,3,No,11,2,1,3,22,4,7,1975,53914.11,Sí
6,59,No,Unknown,1032.4872861766066,Sales,25,3,Life Sciences,7,1,Male,3,3,Sales Executive,1,Unknown,8339.32,21682.23,7,Unknown,11,4,0,3,21,7,9,1964,100071.84,Sí
7,42,No,Travel Rarely,556.2566609977324,Sales,1,1,Unknown,8,2,Female,3,2,Sales Executive,3,Married,4492.84,11681.39,1,No,25,3,0,3,20,11,6,1981,53914.11,No
8,41,No,Unknown,1712.1825396825398,Sales,2,5,Unknown,9,2,Male,3,4,Manager,1,Married,13829.17,35955.83,7,No,16,2,1,2,18,11,8,1982,165950.0,Sí
9,41,No,Travel Frequently,1973.9841269841268,Research & Development,9,3,Unknown,10,1,Female,3,5,Research Director,3,Unknown,15943.72,41453.67,2,No,17,2,1,2,18,0,11,1982,53914.11,No
10,41,No,No Travel,2060.7063492063494,Research & Development,7,1,Unknown,11,2,Male,1,5,Research Director,3,Unknown,16644.17,43274.83,1,No,22,2,2,3,21,5,10,1982,199730.0,No
11,56,No,Travel Rarely,1382.7460317460318,Research & Development,23,3,Life Sciences,12,4,Female,3,4,Manufacturing Director,2,Married,4492.84,29037.67,4,Yes,12,1,1,0,19,15,9,1967,134020.0,No
